2026-05-04 19:10:59 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-05-04 19:41:34 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-04 19:41:34 [main] INFO  c.e.C.AdminIntegrationTest - Starting AdminIntegrationTest using Java 21.0.2 with PID 16320 (started by Admin in D:\ComputerStore\ComputerStore)
2026-05-04 19:41:34 [main] DEBUG c.e.C.AdminIntegrationTest - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-05-04 19:41:34 [main] INFO  c.e.C.AdminIntegrationTest - The following 1 profile is active: "test"
2026-05-04 19:41:35 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-04 19:41:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 109 ms. Found 11 JPA repository interfaces.
2026-05-04 19:41:37 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-04 19:41:37 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2026-05-04 19:41:37 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-05-04 19:41:37 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-04 19:41:37 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-04 19:41:38 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-05-04 19:41:38 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-04 19:41:38 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-04 19:41:40 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-04 19:41:40 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-04 19:41:41 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-04 19:41:42 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@537e52de, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@59eff566, org.springframework.security.web.context.SecurityContextHolderFilter@6e21b6f8, org.springframework.security.web.header.HeaderWriterFilter@6d0d5147, org.springframework.web.filter.CorsFilter@1277a6a1, org.springframework.security.web.csrf.CsrfFilter@69815126, org.springframework.security.web.authentication.logout.LogoutFilter@6ed2aa8a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@65a03c19, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4bd7e0b6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2cbc0224, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@5a90ea5c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4fe87cb9, org.springframework.security.web.access.ExceptionTranslationFilter@5ae5a507, org.springframework.security.web.access.intercept.AuthorizationFilter@4842a683]
2026-05-04 19:41:43 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2026-05-04 19:41:43 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2026-05-04 19:41:43 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2026-05-04 19:41:43 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2026-05-04 19:41:43 [main] INFO  c.e.C.AdminIntegrationTest - Started AdminIntegrationTest in 9.167 seconds (process running for 10.763)
2026-05-04 19:41:44 [main] WARN  o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/admin' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
2026-05-04 19:41:45 [main] INFO  c.e.C.config.LoggingAspect - AOP [Start] Executing ProductService.getAllProducts() with args: []
2026-05-04 19:41:45 [main] INFO  c.e.C.config.LoggingAspect - AOP [Success] Executed ProductService.getAllProducts() in 15 ms. Result: []
2026-05-04 19:41:45 [main] INFO  c.e.C.config.LoggingAspect - AOP [Start] Executing UserService.getAllUsers() with args: []
2026-05-04 19:41:45 [main] INFO  c.e.C.config.LoggingAspect - AOP [Success] Executed UserService.getAllUsers() in 33 ms. Result: [com.example.ComputerStore.model.User@1192d1f5]
2026-05-04 19:41:45 [main] INFO  c.e.C.config.LoggingAspect - AOP [Start] Executing OrderService.getAllOrders() with args: []
2026-05-04 19:41:45 [main] INFO  c.e.C.config.LoggingAspect - AOP [Success] Executed OrderService.getAllOrders() in 4 ms. Result: []
2026-05-04 19:41:45 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.ComputerStore.ComputerStoreApplicationTests]: ComputerStoreApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-05-04 19:41:45 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ComputerStore.ComputerStoreApplication for test class com.example.ComputerStore.ComputerStoreApplicationTests
2026-05-04 19:41:45 [main] INFO  c.e.C.ComputerStoreApplicationTests - Starting ComputerStoreApplicationTests using Java 21.0.2 with PID 16320 (started by Admin in D:\ComputerStore\ComputerStore)
2026-05-04 19:41:45 [main] DEBUG c.e.C.ComputerStoreApplicationTests - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-05-04 19:41:45 [main] INFO  c.e.C.ComputerStoreApplicationTests - The following 1 profile is active: "dev"
2026-05-04 19:41:46 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-04 19:41:46 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 11 JPA repository interfaces.
2026-05-04 19:41:46 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-04 19:41:46 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-05-04 19:41:46 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-04 19:41:46 [main] INFO  com.zaxxer.hikari.HikariDataSource - ComputerHikariCP - Starting...
2026-05-04 19:41:46 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ComputerHikariCP - Added connection org.postgresql.jdbc.PgConnection@69235eea
2026-05-04 19:41:46 [main] INFO  com.zaxxer.hikari.HikariDataSource - ComputerHikariCP - Start completed.
2026-05-04 19:41:46 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-04 19:41:47 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-04 19:41:47 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-04 19:41:47 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
